,Symbol,Name
0,GOED,1847 goedeker
1,XXII,22nd century group
2,FAX,aberdeen asiapacific income fund
3,IAF,aberdeen australia equity fund
4,AEF,aberdeen emerging markets equity income fund
5,FCO,aberdeen global income fund
6,ACU,acme united
7,ATNM,actinium pharmaceuticals
8,AE,adams resources energy
9,ACY,aerocentury
10,UAVS,ageagle aerial systems
11,AGE,agex therapeutics
12,AIRI,air industries group
13,AXU,alexco resource
14,AAU,almaden minerals
15,APT,alpha pro tech
16,AAMC,altisource asset management
17,AMBO,ambow education holding
18,DIT,amcon distributing company
19,AMS,american shared hospital services
20,USAS,americas gold and silver
21,AP.WS,ampcopittsburgh
22,AMPE,ampio pharmaceuticals
23,ANVS,annovis bio
24,ARMP,armata pharmaceuticals
25,AINC,ashford
26,AWX,avalon holdings
27,ASM,avino silver
28,BTG,b2gold
29,BTN,ballantyne strong
30,BCV,bancroft fund limited
31,BCV^A,bancroft fund limited
32,BHB,bar harbor bankshares
33,BRN,barnwell industries
34,BATL,battalion oil
35,BIOX,bioceres crop solutions
36,PHGE,biomx
37,PHGE.U,biomx
38,PHGE.WS,biomx
39,BGI,birks group
40,BKTI,bk technologies
41,BDR,blonder tongue laboratories
42,BRBS,blue ridge bankshares
43,BRG,bluerock residential growth reit
44,BRG^A,bluerock residential growth reit
45,BRG^C,bluerock residential growth reit
46,BRG^D,bluerock residential growth reit
47,DMF,bny mellon municipal income
48,BWL.A,bowl america
49,BRMK.WS,broadmark realty capital
50,CMCL,caledonia mining plc
51,CEI,camber energy
52,CANF,canfite biopharma
53,YCBD,cbdmd
54,YCBD^A,cbdmd
55,CVM,celsci
56,CET,central securities
57,LEU,centrus energy
58,CHAQ,chardan healthcare acquisition 2
59,CHAQ.U,chardan healthcare acquisition 2
60,CHAQ.WS,chardan healthcare acquisition 2
61,CCF,chase
62,CQP,cheniere energy partners lp
63,LNG,cheniere energy
64,CVR,chicago rivet machine co
65,CPHI,china pharma holdings
66,CKX,ckx lands
67,GLV,clough global dividend and income fund
68,GLQ,clough global equity fund
69,GLO,clough global opportunities fund
70,COHN,cohen company
71,CIX,compx international
72,LODE,comstock mining
73,CDOR,condor hospitality trust
74,MCF,contango oil gas company
75,CMT,core molding technologies
76,CRMD,cormedix
77,CRF,cornerstone strategic return fund the
78,CLM,cornerstone strategic value fund
79,CVU,cpi aerostructures
80,CIK,credit suisse asset management income fund
81,DHY,credit suisse high yield bond fund
82,CRHM,crh medical
83,CTO,cto realty growth
84,CTEK,cynergistek
85,DXR,daxor
86,VCF,delaware investments colorado municipal income fund
87,VFL,delaware investments florida insured municipal income fund
88,VMM,delaware investments minnesota municipal income fund ii
89,DLA,delta apparel
90,DNN,denison mine
91,DSS,document security systems
92,DPW,dpw holdings
93,DXF,dunxin financial holdings limited
94,GRF,eagle capital growth fund
95,EVM,eaton vance california municipal bond fund
96,CEV,eaton vance california municipal income trust
97,EVV,eaton vance limited duration income fund
98,EIM,eaton vance municipal bond fund
99,ENX,eaton vance new york municipal bond fund
100,EVY,eaton vance new york municipal income trust
101,ELMD,electromed
102,ELLO,ellomay capital
103,ECF,ellsworth growth and income fund
104,ECF^A,ellsworth growth and income fund
105,EMAN,emagin
106,MSN,emerson radio
107,EMX,emx royalty
108,UUUU,energy fuels
109,UUUU.WS,energy fuels
110,ENSV,enservco
111,ELA,envela
112,EQX,equinox gold
113,ESP,espey mfg electronics
114,EVBN,evans bancorp
115,EVI,evi industries
116,EPM,evolution petroleum
117,EXN,excellon resources
118,FEN,first trust energy income and growth fund
119,BDL,flanigan39s enterprises
120,FSI,flexible solutions international
121,FTF,franklin limited duration income trust
122,FSP,franklin street properties
123,FRD,friedman industries
124,FTSI,fts international
125,FURY,fury gold mines limited
126,GAU,galiano gold
127,GGN,gamco global gold natural reources income trust
128,GGN^B,gamco global gold natural reources income trust
129,JOB,gee group
130,GSAT,globalstar
131,GORO,gold resource
132,GSV,gold standard ventures
133,AUMN,golden minerals company
134,GSS,golden star resources
135,GV,goldfield the
136,GLDG,goldmining
137,GDP,goodrich petroleum
138,GTE,gran tierra energy
139,GPL,great panther mining limited
140,SIM,grupo simec sa de cv
141,AIM,hemispherx biopharma
142,HLM^,hillman group capital trust
143,HMG,hmgcourtland properties
144,HUSA,houston american energy
145,HWM^,howmet aerospace
146,IBIO,ibio
147,IBO,ibo listing market nyse amex network b f
148,IMH,impac mortgage holdings
149,IMO,imperial oil limited
150,IOR,income opportunity realty investors
151,IGC,india globalization capital
152,INDO,indonesia energy limited
153,INFU,infusystems holdings
154,IHT,innsuites hospitality trust
155,NSPR,inspiremd
156,NSPR.WS,inspiremd
157,NSPR.WS.B,inspiremd
158,ITRG,integra resources
159,INS,intelligent systems
160,THM,international tower hill mines
161,INTT,intest
162,INUV,inuvo
163,VKI,invesco advantage municipal income trust ii
164,ISR,isoray
165,ISDR,issuer direct
166,ITP,it tech packaging
167,KLR,kaleyra
168,KLR.WS,kaleyra
169,KIQ,kelso technologies
170,LSF,laird superfood
171,LGL,lgl group the
172,LCTX,lineage cell therapeutics
173,MAG,mag silver
174,MHH,mastech digital
175,MTNB,matinas biopharma holdings
176,MMX,maverix metals
177,IPB,merrill lynch co 60518 index plus trust certificate
178,MTA,metalla royalty streaming
179,MXC,mexco energy
180,MLSS,milestone scientific
181,MYO,myomo
182,NNVC,nanoviricides
183,ATEST,nasdaq test stock
184,ATEST.A,nasdaq test stock
185,ATEST.B,nasdaq test stock
186,ATEST.C,nasdaq test stock
187,NHC,national healthcare
188,NAVB,navidea biopharmaceuticals
189,NTIP,network1 technologies
190,NBW,neuberger berman california municipal fund
191,NHS,neuberger berman high yield strategies fund
192,NML,neuberger berman mlp and energy income fund
193,NBH,neuberger berman municipal fund
194,NBO,neuberger berman new york municipal fund
195,NRO,neuberger berman real estate securities income fund
196,GBR,new concept energy
197,NEN,new england realty associates limited partnership
198,NGD,new gold
199,NXE,nexgen energy
200,NAK,northern dynasty minerals
201,NOG,northern oil and gas
202,NBY,novabay pharmaceuticals
203,NG,novagold resources
204,NTN,ntn buzztime
205,NES,nuverra environmental solutions
206,OBLG,oblong
207,OCX,oncocyte
208,OGEN,oragenics
209,PCG^A,pacific gas electric co
210,PCG^B,pacific gas electric co
211,PCG^C,pacific gas electric co
212,PCG^D,pacific gas electric co
213,PCG^E,pacific gas electric co
214,PCG^G,pacific gas electric co
215,PCG^H,pacific gas electric co
216,PCG^I,pacific gas electric co
217,PTN,palatin technologies
218,PZG,paramount gold nevada
219,PRK,park national
220,PED,pedevco
221,HNW,pioneer diversified high income trust
222,PLAG,planet green holdings
223,PLG,platinum group metals
224,PLYM^A,plymouth industrial reit
225,PLM,polymet mining
226,PW,power reit
227,PW^A,power reit
228,PLX,protalix biotherapeutics
229,PTK,ptk acquisition
230,PTK.U,ptk acquisition
231,PTK.WS,ptk acquisition
232,RLGT,radiant logistics
233,UTG,reaves utility income fund
234,RHE,regional health properties
235,RHE^A,regional health properties
236,RCG,renn fund
237,RVP,retractable technologies
238,REI,ring energy
239,SACC,sachem capital
240,SACH,sachem capital
241,SCCB,sachem capital
242,SCCC,sachem capital
243,SNMP,sanchez midstream partners lp
244,SEB,seaboard
245,SENS,senseonics holdings
246,SVT,servotronics
247,SMTS,sierra metals
248,SIF,sifco industries
249,SVM,silvercorp metals
250,SILV,silvercrest metals
251,XPL,solitario zinc
252,LOV,spark networks
253,STXS,stereotaxis
254,SSY,sunlink health systems
255,SDPI,superior drilling products
256,SYN,synthetic biologics
257,TKAT,takung art co
258,TALO.WS,talos energy
259,TRX,tanzanian gold
260,TGB,taseko mines limited
261,TGC,tengasco
262,GLU,the gabelli global utility and income trust
263,GLU^A,the gabelli global utility and income trust
264,GLU^B,the gabelli global utility and income trust
265,GGO,the gabelli go anywhere trust
266,GGO^A,the gabelli go anywhere trust
267,TDW.WS,tidewater
268,TMBR,timber pharmaceuticals
269,TMP,tompkins financial
270,TAT,transatlantic petroleum
271,TRXC,transenterix
272,TMQ,trilogy metals
273,TPHS,trinity place holdings
274,TRT,triotech international
275,UFAB,unique fabricating
276,UAMY,united states antimony
277,UUU,universal security instruments
278,URG,ur energy
279,UEC,uranium energy
280,VGZ,vista gold
281,VNRX,volitionrx limited
282,VOLT,volt information sciences
283,EAD,wells fargo income opportunities fund
284,ERC,wells fargo multisector income fund
285,ERH,wells fargo utilities and high income fund
286,WRN,western copper and gold
287,WYY,widepoint
288,WTT,wireless telecom group
289,XTNT,xtant medical holdings
290,ZDGE,zedge
291,ZOM,zomedica
