,Symbol,Name
0,TXG,10x genomics
1,YI,111
2,PIH,1347 property insurance holdings
3,PIHPP,1347 property insurance holdings
4,TURN,180 degree capital
5,FLWS,1800flowerscom
6,BCOW,1895 bancorp of wisconsin
7,ONEM,1life healthcare
8,FCCY,1st constitution bancorp nj
9,SRCE,1st source
10,VNET,21vianet group
11,TWOU,2u
12,QFIN,360 digitech
13,KRKR,36kr holdings
14,FVAM,501 acquisition
15,JOBS,51job
16,ETNB,89bio
17,EGHT,8x8
18,NMTR,9 meters biopharma
19,JFU,9f
20,AAON,aaon
21,ABEO,abeona therapeutics
22,ABMD,abiomed
23,AXAS,abraxas petroleum
24,ACIU,ac immune sa
25,ACIA,acacia communications
26,ACTG,acacia research
27,ASO,academy sports and outdoors
28,ACHC,acadia healthcare company
29,ACAD,acadia pharmaceuticals
30,ACAM,acamar partners acquisition
31,ACAMU,acamar partners acquisition
32,ACAMW,acamar partners acquisition
33,ACST,acasti pharma
34,AXDX,accelerate diagnostics
35,ACCP,accelerated pharma
36,XLRN,acceleron pharma
37,ACCD,accolade
38,ARAY,accuray incorporated
39,ACEV,ace convergence acquisition
40,ACEVU,ace convergence acquisition
41,ACEVW,ace convergence acquisition
42,ACLL,acell
43,ACRX,acelrx pharmaceuticals
44,ACER,acer therapeutics
45,ACHV,achieve life sciences
46,ACIW,aci worldwide
47,ACRS,aclaris therapeutics
48,ACMR,acm research
49,ACNB,acnb
50,STWOU,acon s2 acquisition
51,ACOR,acorda therapeutics
52,ATVI,activision blizzard
53,AFIB,acutus medical
54,ADMS,adamas pharmaceuticals
55,ADMP,adamis pharmaceuticals
56,AHCO,adapthealth
57,ADAP,adaptimmune therapeutics plc
58,ADPT,adaptive biotechnologies
59,ADXN,addex therapeutics
60,ADUS,addus homecare
61,AEY,addvantage technologies group
62,ADIL,adial pharmaceuticals
63,ADILW,adial pharmaceuticals
64,ACET,adicet bio
65,ADTX,aditx therapeutics
66,ADMA,adma biologics
67,ADBE,adobe
68,ADTN,adtran
69,ADES,advanced emissions solutions
70,AEIS,advanced energy industries
71,AMD,advanced micro devices
72,ADXS,advaxis
73,ADVM,adverum biotechnologies
74,DWEQ,advisorshares dorsey wright alpha equal weight
75,DWAW,advisorshares dorsey wright fsm all cap world
76,DWUS,advisorshares dorsey wright fsm us core
77,DWMC,advisorshares dorsey wright microcap
78,DWSH,advisorshares dorsey wright short
79,ACT,advisorshares vice
80,AEGN,aegion
81,AGLE,aeglea biotherapeutics
82,AEHR,aehr test systems
83,AMTX,aemetis
84,AERI,aerie pharmaceuticals
85,AVAV,aerovironment
86,ARPO,aerpio pharmaceuticals
87,AIH,aesthetic medical international holdings group
88,AEZS,aeterna zentaris
89,AEMD,aethlon medical
90,AFMD,affimed nv
91,AFYA,afya limited
92,AGBA,agba acquisition limited
93,AGBAR,agba acquisition limited
94,AGBAU,agba acquisition limited
95,AGBAW,agba acquisition limited
96,AGEN,agenus
97,AGRX,agile therapeutics
